timestamp_s,state,mode,event,roc_C_per_s,roc_F_per_s,raw_temp_C,raw_temp_F,expected_raw_C,expected_raw_F,deviation_C,corr_temp_C,corr_temp_F,thermal_offset_C,ambient_est_C,ambient_est_F,rel_alt_m,rel_alt_ft,air_density_kg_m3,station_pressure_hPa,sea_level_pressure_QFF_hPa,battery_V,thrust,temp_var,press_var
1769878183.5710568,IDLE,STABLE,Stable tracking,0.18049446784687917,0.3248900421243825,33.842899322509766,92.91721878051757,33.007591247558594,91.41366424560547,0.10023696899413892,23.989125857883028,75.18042654418946,9.118702358669704,23.88888888888889,75.0,0.017685103510515887,0.058021995001440944,1.19629263534252,1020.36328125,1022.1246119152656,4.053958892822266,0,baro.temp,baro.pressure
1769878184.0703692,IDLE,STABLE,Stable tracking,0.1744991384101775,0.3140984491383195,33.83390808105469,92.90103454589844,33.007591247558594,91.41366424560547,0.18736655273437464,24.076255441623264,75.33725979492188,9.118702358669704,23.88888888888889,75.0,0.1435028480942222,0.470809884141448,1.19592413848331,1020.3480834960938,1022.1088712539913,4.053958892822266,0,baro.temp,baro.pressure
1769878184.5705564,IDLE,STABLE,Stable tracking,0.158721394497543,0.2856985100955774,33.856544494628906,92.94178009033203,33.007591247558594,91.41366424560547,0.2667569560546852,24.155645844943574,75.48016252089843,9.118702358669704,23.88888888888889,75.0,-0.03638069009298306,-0.11935922328466254,1.1956302479760406,1020.3698120117188,1022.1301667393641,4.053958892822266,0,baro.temp,baro.pressure
1769878185.0726306,IDLE,STABLE,Stable tracking,0.14050196683482424,0.25290354030268364,33.86220169067383,92.95196304321288,33.007591247558594,91.41366424560547,0.3372993745019528,24.226188263390842,75.60713887410351,9.118702358669704,23.88888888888889,75.0,0.1541140525534317,0.5056235481794008,1.1953196690983683,1020.3468017578125,1022.1066989214061,4.053958892822266,0,baro.temp,baro.pressure
1769878185.5719993,IDLE,STABLE,Stable tracking,0.1257663991663223,0.22637951849938012,33.868255615234375,92.96286010742188,33.007591247558594,91.41366424560547,0.40010317368280823,24.288992062571698,75.72018571262906,9.118702358669704,23.88888888888889,75.0,-0.004042305169363658,-0.013262156491855064,1.1950896544386078,1020.3659057617188,1022.125464010057,4.053958892822266,0,baro.temp,baro.pressure
1769878186.07227,IDLE,STABLE,Stable tracking,0.11110535355036198,0.19998963639065157,33.87088394165039,92.9675910949707,33.007591247558594,91.41366424560547,0.45568591613188403,24.344574805020773,75.82023464903739,9.118702358669704,23.88888888888889,75.0,-0.10156244256461378,-0.33321012406368744,1.1948801628178412,1020.377685546875,1022.1369351264985,4.053958892822266,0,baro.temp,baro.pressure
1769878186.5720766,IDLE,STABLE,Stable tracking,0.09843589793211857,0.17718461627781343,33.873268127441406,92.97188262939453,33.007591247558594,91.41366424560547,0.5048848317819932,24.393773720670882,75.90879269720759,9.118702358669704,23.88888888888889,75.0,0.13642871777605592,0.4476007944283953,1.194648930842534,1020.3489379882812,1022.1078469168558,4.053958892822266,0,baro.temp,baro.pressure
1769878187.0722518,IDLE,STABLE,Stable tracking,0.08780077461851063,0.15804139431331915,33.878440856933594,92.98119354248047,33.007591247558594,91.41366424560547,0.548800605093156,24.437689493982045,75.98784108916769,9.118702358669704,23.88888888888889,75.0,0.15057698320605084,0.49401898958173984,1.1944706328324883,1020.3472290039062,1022.1058752392291,4.053958892822266,0,baro.temp,baro.pressure
1769878187.572406,IDLE,STABLE,Stable tracking,0.0785172322146426,0.14133101798635667,33.88364791870117,92.99056625366211,33.007591247558594,91.41366424560547,0.5880713330190872,24.476960221907976,76.05852839943435,9.118702358669704,23.88888888888889,75.0,0.35623429361909587,1.1687477198772744,1.1942839503768692,1020.3223876953125,1022.0807589120172,4.053958892822266,0,baro.temp,baro.pressure
1769878188.0723891,IDLE,STABLE,Stable tracking,0.07007283298829887,0.126131099378938,33.88762283325195,92.99772109985352,33.007591247558594,91.41366424560547,0.6231065633400021,24.51199545222889,76.121591814012,9.118702358669704,23.88888888888889,75.0,0.2294033846950967,0.752635800643061,1.1941613111895681,1020.3377075195312,1022.095898027495,4.053958892822266,0,baro.temp,baro.pressure
